text,labels
i cant see the status of order {{Order Number}},ORDER
i dont want purchase {{Order Number}},ORDER
I'm trying to find information about creating users,ACCOUNT
"I have got to locate purchase {{Order Number}}, I need help",ORDER
i have to update the data included on my user i need help,ACCOUNT
where do i ask for a refund,REFUND
see how long refunds take,REFUND
can you help me cancel purchase {{Order Number}}?,ORDER
open standard cacount for wife,ACCOUNT
i made a mistake help me change order {{Order Number}},ORDER
I need to see in what cases can I request to be refunded,REFUND
i do not know how i can update the info included on my user,ACCOUNT
modify order {{Order Number}},ORDER
can you help me to check what shipment options you offer?,DELIVERY
I don't know what to do to create a {{Account Category}} account,ACCOUNT
switching to {{Account Type}} account,ACCOUNT
how can I see how son can I expect my package?,DELIVERY
I need assistance changing to the standard account,ACCOUNT
modify order {{Order Number}},ORDER
is it possible to see when will my purchase arrive,DELIVERY
canceling purechase {{Order Number}},ORDER
use premium account,ACCOUNT
what do I need to do to cancel purchase {{Order Number}}?,ORDER
need to edit the info included on my user profile help me,ACCOUNT
what do i have to do to creare a {{Account Type}} account for my daughter,ACCOUNT
help with cancelling order {{Order Number}},ORDER
where can I restore the PIN of my account?,ACCOUNT
see order {{Order Number}} status,ORDER
where can I list your accepted payment optiions?,PAYMENT
I have to check your payment modalities,PAYMENT
can i place an order from {{Delivery City}},DELIVERY
help me switch several products of purchase {{Order Number}},ORDER
i want help seeing the goddamn ETA of purchase {{Order Number}},ORDER
I need help seeing in which cases can I ask to be reimbursed,REFUND
problem with cancelling purchase {{Order Number}},ORDER
"I cannot pay, I want to notify of a trouble with payments",PAYMENT
closing {{Account Category}} account,ACCOUNT
I am  having an error trying to register,ACCOUNT
want help receiving compensations,REFUND
I do not know what I need too do to reset my user PIN,ACCOUNT
need help to report a problem with signup,ACCOUNT
can I check in which situations can I request refunds?,REFUND
do you ship  to {{Delivery Country}}?,DELIVERY
I do not know how I can check the accepted payment methods,PAYMENT
could ya help me notifying of problems with a registration,ACCOUNT
I do not know how to demand a reimbursement,REFUND
i do not know how to inform of problems with a signup,ACCOUNT
need to update my user information how can i do it,ACCOUNT
I can no longer afford purchase {{Order Number}},ORDER
acquire several of your item,ORDER
where can I get information about opening {{Account Category}} accounts?,ACCOUNT
i have problems with creating a pro account,ACCOUNT
can you help me see purchase {{Order Number}} status?,ORDER
how to change to the {{Account Type}} account,ACCOUNT
I am trying to receive a reimbursement,REFUND
I do not know how I can list the accepted payment modalitiws,PAYMENT
I am trying to see how soon can I expect my fucking product,DELIVERY
problems with {{Account Type}} account deletions,ACCOUNT
create new platinum account for daughter,ACCOUNT
I'm trying to swap a  product of order {{Order Number}},ORDER
I try to report errors with payment,PAYMENT
can I place an ordewr from {{Delivery Country}}?,DELIVERY
can you help me changing purchase {{Order Number}}?,ORDER
I need assistance to reset the pass of my profile,ACCOUNT
how long until I receive areimbursement of money?,REFUND
how can I report troubles with online payment?,PAYMENT
how do i remove some articles from purchase {{Order Number}},ORDER
need to recover my user account pwd,ACCOUNT
what do i need to do  to buy several products,ORDER
I need help with creating a {{Account Type}} account,ACCOUNT
is it possible to order from {{Delivery Country}}?,DELIVERY
modifying pro account,ACCOUNT
I have to see in which cases can I request reimbursements,REFUND
opening new {{Account Category}} account,ACCOUNT
where to cancel purchase {{Order Number}}?,ORDER
problem with my PIN reset,ACCOUNT
i want assistance notifyin of sign-up problems,ACCOUNT
i want help to delete some products from order {{Order Number}},ORDER
I don't know how I can report problems with payment,PAYMENT
I want to know more about opening {{Account Category}} accounts,ACCOUNT
"I lost my account PIN code, assistance to reset it",ACCOUNT
i dont know how to ask for a refund of my money,REFUND
"I need to modify my damn user profile, how can I do it?",ACCOUNT
change details on platinum account,ACCOUNT
help me see ur allowed payment optyions,PAYMENT
question about opening standard accounts,ACCOUNT
need to see in what cases can i request to be reimbursed,REFUND
how can i see what shipment options i can choose,DELIVERY
I want help to use the platinum profile,ACCOUNT
how can I see the accepted payment options?,PAYMENT
how  can I use the freemium account?,ACCOUNT
I need to check how long reimbursements usually take,REFUND
remove an itemfrom purchase {{Order Number}},ORDER
I have got to see when my package is going to arrive,DELIVERY
wanna see what shipping methods are available how to do it,DELIVERY
i want help to inform of errors with payments,PAYMENT
i need a {{Account Type}} account could i openm it,ACCOUNT
"I can't pay, is it possible to report troubles with payment?",PAYMENT
how to shop a product?,ORDER
updating details on pro account,ACCOUNT
i dont know how to cncel purchase {{Order Number}},ORDER
want help seeing how long refunds take,REFUND
"I have got to see the available payment methods, I need help",PAYMENT
deliveries to {{Delivery Country}},DELIVERY
i need help notifying of a problem with a signup,ACCOUNT
wanna know more about the shipping period,DELIVERY
delete pro account,ACCOUNT
can ya help me to switch to the standard account,ACCOUNT
see purchase {{Order Number}} status,ORDER
can ya help me list the available payment modalities,PAYMENT
I'm trying to list the available payment modalities,PAYMENT
updating info on {{Account Category}} account,ACCOUNT
see in which situations can I request to be reimbursed,REFUND
i want help seeing the restitution current status,REFUND
I am waitig for a damn reimbursement of {{Refund Amount}} dollars,REFUND
I need to  obtain a compensation of money,REFUND
need assistance seeing in which cases can i request a refund,REFUND
i cant open a user profile where do i report sign-u errors,ACCOUNT
"I have got to report issues with signup, help me",ACCOUNT
can you help me seeing how soon can I expect my parcel?,DELIVERY
where  can I get a restitution of money?,REFUND
i need help earning several articles,ORDER
do you deliver to {{Delivery City}}?,DELIVERY
i dont know how to inform of a payment error,PAYMENT
can I open a premium account?,ACCOUNT
I want to check the methods for delivery,DELIVERY
show me order {{Order Number}} status,ORDER
how could I cancel purchase {{Order Number}}?,ORDER
i do not know what i have to do to ask for a rebate of money,REFUND
I am trying to list your available payment methods,PAYMENT
need help listing the payment methods,PAYMENT
I'm waiting for a rebate of {{Currency Symbol}}{{Refund Amount}},REFUND
where can I resety my user profile pwd?,ACCOUNT
I would like to check the options for shipping,DELIVERY
i cannot check if there is anything new on the reimbursement,REFUND
"I have got to list the payment modalities, help mne",PAYMENT
create {{Account Category}} account,ACCOUNT
I have got to recover my user pwd,ACCOUNT
assistance correcting the damn data on my user account,ACCOUNT
I need help retrieving the access key of my account,ACCOUNT
I need information about the removal of my platinum account,ACCOUNT
correct data on premium account,ACCOUNT
do ya deoiver to {{Delivery City}},DELIVERY
could you help me check what shipment options I have?,DELIVERY
new bloody {{Account Category}} account for father,ACCOUNT
using standard accouny,ACCOUNT
how can I see what payment payment modalities are allowed?,PAYMENT
check status of refund,REFUND
can I remove an article from order {{Order Number}}?,ORDER
give me information about the cancellation of a {{Account Type}} account,ACCOUNT
want help seeing the accepted payment methods,PAYMENT
d uship to {{Delivery City}},DELIVERY
I'm waiting for a rebate of {{Currency Symbol}}{{Refund Amount}},REFUND
how could I see the payment options?,PAYMENT
I want to see how long it takes for the dewlivery to arrive,DELIVERY
order {{Order Number}} current status,ORDER
delete {{Account Type}} account,ACCOUNT
can huelp me check ur refund policy,REFUND
I try to cancel purchase {{Order Number}},ORDER
i have to switch some bloody products of order {{Order Number}},ORDER
how do I use the {{Account Category}} profile?,ACCOUNT
where could I reset the pass of my user account?,ACCOUNT
I try to check the delivery methods,DELIVERY
need assistance tosee your available payment methods,PAYMENT
can uhelp me see my reimbursement current status,REFUND
I can no longer pay for purchase {{Order Number}},ORDER
I cannot check your reimbursement policy,REFUND
opening premium account for wife,ACCOUNT
show status of refund,REFUND
I do not know how I can check your reimbursement policu,REFUND
I am waiting for a refund of {{Currency Symbol}}{{Refund Amount}},REFUND
i do not have a {{Account Type}} cacount yet I'd like to create one,ACCOUNT
is it possible to order from {{Delivery City}} ?,DELIVERY
I need to check what shipment methods I have,DELIVERY
"I want to see the status of order {{Order Number}}, I need help",ORDER
i dont know what i have to do to delete my {{Account Type}} account,ACCOUNT
I'd like to edit the data included on my user i need help,ACCOUNT
how to update the info on my user profile?,ACCOUNT
need to see when my package is gonna arrive,DELIVERY
updating details on freemium account,ACCOUNT
I'm waiting for a bloody compensation of {{Currency Symbol}}{{Refund Amount}},REFUND
i dont know what to do to check ur refund policy,REFUND
have problems with canceling purchase {{Order Number}},ORDER
need help to check what methods for delivery i have,DELIVERY
how to check ur refund policy,REFUND
I do not know what I need to do to recover my account PIN,ACCOUNT
notifying of problem creating user profile,ACCOUNT
where can i check what payment methoda ya accept,PAYMENT
i do not know what i need to do to report signup errors,ACCOUNT
want assistance switching to the {{Account Type}} account,ACCOUNT
change purxhase {{Order Number}},ORDER
i cant reset the passwodr of my profile,ACCOUNT
editing data on premium acocunt,ACCOUNT
how do i create a freemium account,ACCOUNT
i dont want purchase {{Order Number}},ORDER
"I hav to see your refund policy, how can I do it?",REFUND
mldifying standard account,ACCOUNT
i dont know how to inform of paymentissues,PAYMENT
I am waiting for a compensation of {{Currency Symbol}}{{Refund Amount}},REFUND
edit information onfree account,ACCOUNT
help to correct the information included on my user,ACCOUNT
I try to see in which situationscan I ask for refunds,REFUND
want help receiving a restitution of my money,REFUND
how can I notify of an error with online payment?,PAYMENT
i dont know what to do to delete my platinum account,ACCOUNT
i dont know how to cancel purchase {{Order Number}},ORDER
can you help me to order some items ?,ORDER
how do i check the current status of the reimbursement,REFUND
purchase {{Order Number}} status,ORDER
I do not know how I can see the status of order {{Order Number}},ORDER
how can i demand refunds of my money,REFUND
what do i have to do to recover my profile key,ACCOUNT
I don't know how I can change to the {{Account Category}} account,ACCOUNT
show me ETA of purchase {{Order Number}},ORDER
I want help informing of an issue with a signup,ACCOUNT
I want assistance seeing your available payment modalities,PAYMENT
information about opening a freemium account,ACCOUNT
could you help me notify of an issue with a registration?,ACCOUNT
changing data on pro account,ACCOUNT
I need assistance earning several of your product,ORDER
I want assistance to notify of an error with a registration,ACCOUNT
need assistance to check in what cases can i request refunds,REFUND
i expect a rebate of {{Currency Symbol}}{{Refund Amount}},REFUND
do ya accept card,PAYMENT
i expect a reimbursement of {{Currency Symbol}}{{Refund Amount}},REFUND
change data on platinum account,ACCOUNT
help me swapping an item of order {{Order Number}},ORDER
"I want to update the damn user data, how could I do it?",ACCOUNT
need assistance ordering some goddamn items,ORDER
can ushow me ur refund policy,REFUND
opdn {{Account Category}} account,ACCOUNT
could ya help me cancel the {{Account Category}} account,ACCOUNT
help to see inwhich situations can I ask to be refunded,REFUND
want help to request a compensation of my money,REFUND
is it possible to place na order from {{Delivery Country}},DELIVERY
I am waiting for a bloody compensation of {{Refund Amount}} dollars,REFUND
i dont khow what i need to do to change to the gold account,ACCOUNT
what do i have to do to chheck purchase {{Order Number}} status,ORDER
can you help me to see what shipment methods I can choose?,DELIVERY
help me informing of a problem with signup,ACCOUNT
wanna check how long it takes for my delivery to arrive,DELIVERY
how do I see how long it takes for my damn parcel to arrive?,DELIVERY
can I use the pro profile?,ACCOUNT
can I place an order from {{Delivery City}}?,DELIVERY
i do not know how to check the allowed payment modalities,PAYMENT
I need to check if there are any updates on my bloody rebate,REFUND
could you help me resetting my key ?,ACCOUNT
want assistance to receive an refund of my money,REFUND
help me to restore my account PIN,ACCOUNT
I want to see order {{Order Number}} bloody current status,ORDER
where can I change to the {{Account Type}} account?,ACCOUNT
I need assistance to report a problem with a sign-up,ACCOUNT
I do not know what I need to do to see my rebate status,REFUND
want assistance to buy some of ur artikcle,ORDER
i dont know how to order several of ur article,ORDER
wanna check in what cases can i request a refund,REFUND
I need help to deelete a pro account,ACCOUNT
order {{Order Number}} status,ORDER
I do not know how to shop several products,ORDER
where is ordered {{Order Number}},ORDER
I do not know what to do to earn several of yoru item,ORDER
help me seeing in which cases can I request my money back,REFUND
can uhelp me to notify of errors with payment,PAYMENT
need assistance to cancel purchase {{Order Number}},ORDER
i dont know what to do to obtain rebates of money,REFUND
i have got to notify of problems with an signup,ACCOUNT
I'm  trying to notify of errors with registrations,ACCOUNT
I don't know what I need to do to reset my account  password,ACCOUNT
can you help me report fucking errors with payment?,PAYMENT
"I need to retrieve my user PIN, could you help me?",ACCOUNT
check allowed payment modalities,PAYMENT
want help to inform of errors wwith registrations,ACCOUNT
i need help to check how long it takes for my item to arrive,DELIVERY
where can I receive a rebate of my money?,REFUND
"I want to change to the freemium account, can you help me?",ACCOUNT
I don't know how I can change to the premium account,ACCOUNT
where could I cancel purchase {{Order Number}}?,ORDER
can I change several articles of order {{Order Number}}?,ORDER
i dont know what i have to do to earn an article,ORDER
change to the {{Account Category}} account,ACCOUNT
issue creating account,ACCOUNT
modifying ddetails on gold account,ACCOUNT
how to obtain a rebate of money,REFUND
updating data on {{Account Category}} account,ACCOUNT
cancel pro account,ACCOUNT
see ETA ob order {{Order Number}},ORDER
how can i see what shipment methods i have,DELIVERY
chnge data on {{Account Category}} account,ACCOUNT
can I use the standard profile?,ACCOUNT
assistance checking the status of order {{Order Number}},ORDER
can you help me create a {{Account Category}} account?,ACCOUNT
information about creating {{Account Category}} accounts,ACCOUNT
I do not know how to reset my user password,ACCOUNT
can you show me how long it takes for my shipment to arrive?,DELIVERY
how to see the status of my restitution,REFUND
I would like to check the status of my rebate,REFUND
help seeing how long it takes for my item to arrive,DELIVERY
i dont know what i have to do to receive a compensation,REFUND
can I order from {{Delivery Country}}?,DELIVERY
help to inform of issues with signu,ACCOUNT
where can I see if there is anything new on the restitution?,REFUND
I need help to remove my {{Account Category}} account,ACCOUNT
can I check the current status of my reimbursement?,REFUND
I expect a reufnd of {{Currency Symbol}}{{Refund Amount}},REFUND
need help asking for a reimbursement ofmy money,REFUND
could I report a signup issue?,ACCOUNT
correct details on freemium account,ACCOUNT
check in what situations can I request a fucking refund,REFUND
"I cannot remember my PIN, help me recovering it",ACCOUNT
i expect a refund of {{Refund Amount}} dollars,REFUND
how to use the freemium account?,ACCOUNT
show me order {{Order Number}} current status,ORDER
need support with my signup,ACCOUNT
where can I see when my package is going to arrive?,DELIVERY
could you help me to notify of an issue with payments?,PAYMENT
rebate {{Refund Amount}} dollarx,REFUND
I can't pay for purchase {{Order Number}},ORDER
I do not know what to do to notify of problems with payment,PAYMENT
what do I have to do to inform of an issue with sign-up?,ACCOUNT
see under what circumstances can I ask to be refunded,REFUND
need help to notify of problems with payment,PAYMENT
how to add an article to purchase {{Order Number}}?,ORDER
"I have got to earn some of your product, how can I do it?",ORDER
i have a question about the cancellation  of my {{Account Type}} account,ACCOUNT
change to {{Account Type}} account,ACCOUNT
I am waiting for a reimburswment of {{Currency Symbol}}{{Refund Amount}},REFUND
"I have got to list the damn payment methods, how to do it?",PAYMENT
can i order from {{Delivery Country}},DELIVERY
I would like to see in which cases can I request refunds,REFUND
I try to delete my platinum account,ACCOUNT
see your allowed payment options,PAYMENT
how do i edit purchase {{Order Number}},ORDER
where to see the methods for shipment?,DELIVERY
want help to check the restitution status,REFUND
I don't know how to cancel purchase {{Order Number}},ORDER
would it be possible to oen a gold account,ACCOUNT
I do not know what I have to do to close my {{Account Category}} account,ACCOUNT
create premium accountfor wife,ACCOUNT
checking order {{Order Number}} stagus,ORDER
shop several products,ORDER
help to list the available payment modalities,PAYMENT
wanna check whne my package is gonna arrive i need help,DELIVERY
modifying details on standard account,ACCOUNT
assistance to see when my bloody item is gona arrive,DELIVERY
help me see your azllowed payment modalities,PAYMENT
"I cannot remember my user PIN, I would like to restore it",ACCOUNT
edit information onPremium account,ACCOUNT
I need help to ask for a compensation of my money,REFUND
have a problem with the cancellation of my gold account,ACCOUNT
how to see the shipment options,DELIVERY
wanna track purchase {{Order Number}},ORDER
I do not know how to check the status of order {{Order Number}},ORDER
swap several items of order {{Order Number}},ORDER
is it possible to create a standard account,ACCOUNT
help to cancel order {{Order Number}},ORDER
I cannot add a fucking product to order {{Order Number}},ORDER
I try to see how soon can I expect my fucking package,DELIVERY
where to recover the key of my profile?,ACCOUNT
how to check the eta of order {{Order Number}},ORDER
can  ya help me checking when my package is gonna arrive,DELIVERY
I don't know what to do to inform of a problem with payment,PAYMENT
"I do not have a {{Account Type}} account yet, I try to register",ACCOUNT
help seeing ur money back guarantee,REFUND
update details on gold account,ACCOUNT
see current status of order {{Order Number}},ORDER
i cant inform of sign-up errors,ACCOUNT
want help obtaining rebates,REFUND
i dont want order {{Order Number}},ORDER
would you give meinformation about {{Account Type}} account removals?,ACCOUNT
could you help me to delete a {{Account Category}} account?,ACCOUNT
I need to check when my parcel is going to arrive,DELIVERY
i need help to use the platinum progile,ACCOUNT
where can I find information about a password retrieval?,ACCOUNT
help me checking how long it takes for the product to arrive,DELIVERY
how to see the current status of order {{Order Number}}?,ORDER
need assistancee to check your damn reimbursement policy,REFUND
I expect a reimbursement of {{Currency Symbol}}{{Refund Amount}},REFUND
want assistance opening a platinum account for my dad,ACCOUNT
I want help to see the ETA of the purchase {{Order Number}},ORDER
can you help me purchasing some articles?,ORDER
how to see the available payment modalities?,PAYMENT
"I can't open a profile, I need help to report sign-up errors",ACCOUNT
where can I find information about my pro account removal?,ACCOUNT
want help seeing the current status of my reimbursement,REFUND
I need information about my freemium acclunt removal,ACCOUNT
I'm waiting for a refund of {{Refund Amount}} dollars,REFUND
I need help canceling purchase {{Order Number}},ORDER
"I have to see what delivery options you offer, help me",DELIVERY
"I have got to see how long the shipment takes, I need help",DELIVERY
I need information about the access key reset,ACCOUNT
how do i request a compensation of my money,REFUND
i need help to cancel purchase {{Order Number}},ORDER
how to see if there is anything wrong with my compensation,REFUND
can I add a damn item to purchase {{Order Number}}?,ORDER
what do I have to do to recover the PIN of my account?,ACCOUNT
i have a probelm with the password retrieval,ACCOUNT
help to use the {{Account Category}} profile,ACCOUNT
need help solving an error wity online payments,PAYMENT
I have got to inform of errors with a sign-up,ACCOUNT
i dont know what i need to do to inform of payment errors,PAYMENT
want assistance checking how soon can  i expect the product,DELIVERY
correct details on {{Account Category}} account,ACCOUNT
help me restoring my user pin,ACCOUNT
how can I notify of sign-up issues?,ACCOUNT
edit order  {{Order Number}},ORDER
how to change order {{Order Number}}?,ORDER
I want help to check how soon can I expect my package,DELIVERY
problem with {{Account Type}} account deletions,ACCOUNT
"I can't sign up, I want help to inform of signup issues",ACCOUNT
how to track the reimbursement?,REFUND
I am trying to check your money back guarantee,REFUND
how do I see the ETA of the order {{Order Number}}?,ORDER
I want assistance receiving a refund of my money,REFUND
edit data on pro account,ACCOUNT
I want help to report payment problems,PAYMENT
can i check when my bloody shipment is gonna arrive,DELIVERY
I want assistamce creating a standard account,ACCOUNT
find information about lost access key,ACCOUNT
can I list the available payment methods?,PAYMENT
can you help me notify of an error with payments?,PAYMENT
i have to see how long it takes for my delivery to arrive,DELIVERY
have a question about the methods for shipment,DELIVERY
assistance to see if there are any news on the refund,REFUND
I don't know what I have to do to earn something,ORDER
assistance to check your payment modalities,PAYMENT
how do I see how long it takes for my bloody item to arrive?,DELIVERY
help checking how soon can I expect the shipment,DELIVERY
I am looking for information about the delivery period,DELIVERY
where to report errors with online payment?,PAYMENT
can you help me canceling purchase {{Order Number}}?,ORDER
I have got to notify of an issue with signup,ACCOUNT
I need to see how long reimbursements take,REFUND
purchase {{Order Number}} status,ORDER
i have got to check how soon can i expect the order,DELIVERY
where can I report a problem with a signup?,ACCOUNT
how to inform of an issue wsith a sign-up?,ACCOUNT
can I close a platinum account?,ACCOUNT
need help deleting some articles from order {{Order Number}},ORDER
i do not knwo what to do to inform of issues with a signup,ACCOUNT
I want to know more about opening a standard account,ACCOUNT
how can I list your available payment methods?,PAYMENT
editing information on standard account,ACCOUNT
what do I need to do to report payment problems?,PAYMENT
I have to see in which cases can I request a reimbursement,REFUND
I want help resetting my profile access key,ACCOUNT
deleting standard account,ACCOUNT
find information about the termination of my {{Account Type}} account,ACCOUNT
have a question about canceling order {{Order Number}},ORDER
do you deliver to {{Delivery City}}?,DELIVERY
"I want to see the ETA of order {{Order Number}}, how do I do it?",ORDER
where do I check what damn shipment options are available?,DELIVERY
where can I buy some of your article?,ORDER
"I don't have a {{Account Type}} account, help registering",ACCOUNT
change data on {{Account Category}} account,ACCOUNT
I have got to check what methods for delivery you offer,DELIVERY
modifying data on {{Account Type}} account,ACCOUNT
need help deleting something from purchase {{Order Number}},ORDER
I need hepl with opening a premium account,ACCOUNT
see your payment methods,PAYMENT
open gold cacount for wife,ACCOUNT
assistance with canceling oreder {{Order Number}},ORDER
find information about the removal of a gold account,ACCOUNT
help me check ur available payment options,PAYMENT
i need help with canceling purchase {{Order Number}},ORDER
help me cancel purchase {{Order Number}},ORDER
need help to cancel purchase {{Order Number}},ORDER
I have signup erors,ACCOUNT
i can no longer afford purchase {{Order Number}},ORDER
use {{Account Type}} account,ACCOUNT
opening {{Account Category}} account,ACCOUNT
update purchase00123842,ORDER
i do not know how i can report a registration problem,ACCOUNT
update data on {{Account Category}} cacount,ACCOUNT
purchase {{Order Number}} ststus,ORDER
I do not know how to shop some items,ORDER
i have a question about the removal of my {{Account Category}} account,ACCOUNT
I have a problem with the removal of my standard account,ACCOUNT
editdata on premium account,ACCOUNT
I can't swap some products of order {{Order Number}},ORDER
want assistance to notify of an erro with payment,PAYMENT
where do i inform of a registration issue,ACCOUNT
assistance seeing the available payment options,PAYMENT
i want assistance to list the allowed payment modalitiess,PAYMENT
want help to see the available payment modalities,PAYMENT
status of order {{Order Number}},ORDER
can you help me demand refunds ?,REFUND
rebating {{Refund Amount}} dollars,REFUND
want help to report fucking sign-up errors,ACCOUNT
help checking the status of the refund,REFUND
I need assistance to notify of problems with a sign-up,ACCOUNT
is it possible to earn several products?,ORDER
how can I get information about a lost access key?,ACCOUNT
i do not know how i can check ur money back guarantee,REFUND
problem with forgotten keys,ACCOUNT
problems with cancelling order {{Order Number}},ORDER
assistance seeing how long it takes for my order to arrive,DELIVERY
updating {{Account Category}} account,ACCOUNT
updaing info on standard account,ACCOUNT
I want assistance deleting my standard account,ACCOUNT
I have got to reset my user account access key,ACCOUNT
where to notify of an issue with a registration,ACCOUNT
how to see how long it takes for my shipment to arrive?,DELIVERY
show me what shipping methods I have,DELIVERY
I need information about opening pro accounts,ACCOUNT
give me information about opening {{Account Category}} accounts,ACCOUNT
"I want to reset the bloody key of my user, will you help me?",ACCOUNT
new {{Account Type}} account,ACCOUNT
where to change to the standard accout,ACCOUNT
can you help me seeing the accepted payment options?,PAYMENT
I do not want purchase {{Order Number}},ORDER
I'm having issues trying to register,ACCOUNT
need to swap an article of  purchase {{Order Number}},ORDER
I don't know how to check the goddamn shipment methods,DELIVERY
can ya help me checking the eta of the order {{Order Number}},ORDER
edit details oon gold account,ACCOUNT
check current status of purchase {{Order Number}},ORDER
assistance to inform of an issue with online payments,PAYMENT
I do not know how to create a {{Account Type}} account,ACCOUNT
can ya help  me remove some products from order {{Order Number}},ORDER
"I would like to acquire something, how to do it?",ORDER
i need assistance to reset the pin code of my account,ACCOUNT
what do I have to do to see the rebate status?,REFUND
I do not know how to list the payment methods,PAYMENT
report issue with payments,PAYMENT
I can't delete several products from purchase {{Order Number}},ORDER
help me to see the ETA of the purchase {{Order Number}},ORDER
need assistance acquiring an item,ORDER
assistance checking when my purchase is going to arrive,DELIVERY
"I bought some items, I need help to cancel purchase {{Order Number}}",ORDER
how to use the {{Account Category}} profile,ACCOUNT
I don't know how I can remove my {{Account Category}} account,ACCOUNT
can you help me canceling purchase {{Order Number}}?,ORDER
need help to see my rebate current status,REFUND
need assistance seeing your accepted payment modalities,PAYMENT
help using the freemium profile,ACCOUNT
I have to inform of an issue with bloody registrations,ACCOUNT
I need help to swap a product of order {{Order Number}},ORDER
I do not know what I have to do to buy an article,ORDER
help to use the {{Account Category}} account,ACCOUNT
how to recover the key of my user account?,ACCOUNT
can i place a damn order from  {{Delivery Country}},DELIVERY
I need help with cancelling purhase {{Order Number}},ORDER
i need assistance canceling purchase {{Order Number}},ORDER
I need help tracking purchase {{Order Number}},ORDER
help notifying of issues with payments,PAYMENT
wqhere to obtain rebates of money,REFUND
where do i notify of issues with signup,ACCOUNT
how can I inform of a trouble with payhments?,PAYMENT
Iexpect a restitution of {{Refund Amount}} dollars,REFUND
how to use tye {{Account Type}} account?,ACCOUNT
creating platinum account,ACCOUNT
updating platinum accojnt,ACCOUNT
is it possible to get a reimbursement?,REFUND
do you deliver to {{Delivery City}}?,DELIVERY
i need assistance to change to the {{Account Category}} account,ACCOUNT
want help to recover my user profile password,ACCOUNT
I don't know what to do to create a standard account,ACCOUNT
track order {{Order Number}},ORDER
I have problems with the termination of a {{Account Type}} account,ACCOUNT
see order {{Order Number}} current status,ORDER
I try to notify of errors with a sign-up,ACCOUNT
I want assistance to inform of errors with online payment,PAYMENT
want assistance to notify of an issue with sign-up,ACCOUNT
i nee assistance to use the standard profile,ACCOUNT
do you deliver to {{Delivery City}} ?,DELIVERY
I have to see in which situations can I ask to be refunded,REFUND
i xepect a refund of {{Currency Symbol}}{{Refund Amount}},REFUND
help me seeing how soon can I expect my parcel,DELIVERY
I don't know what to do to notify of  a payment problem,PAYMENT
help using the platinum profile,ACCOUNT
I need help with canxeling purchase {{Order Number}},ORDER
clsoe pro account,ACCOUNT
I'm trying to buy a few of ur item,ORDER
show me what shipment methods I have,DELIVERY
can you help me to delete something from order {{Order Number}}?,ORDER
what do I have to do to change t the pro account?,ACCOUNT
i need helo checking ur allowed payment methods,PAYMENT
show me the allowed paymeny modalities,PAYMENT
"I have paid {{Currency Symbol}}{{Refund Amount}} for an item, help to receive my money back",REFUND
"I forgot my damn user PIN, help resetting it",ACCOUNT
help with canceling purchase {{Order Number}},ORDER
can uhelp me to cancel purchase {{Order Number}},ORDER
how do I see how  long it takes for the package to arrive?,DELIVERY
i want help creating a {{Account Type}} account for my dad,ACCOUNT
I need to retrieve my PIN,ACCOUNT
help changing to the standard account,ACCOUNT
how can i check the accepted payment options,PAYMENT
show me in which cases can I request to be reimbursed,REFUND
wana use the {{Account Category}} profile how can i do it,ACCOUNT
what do I need to do to switch to the standard account?,ACCOUNT
I'm waiting for a restitution of {{Refund Amount}} dollras,REFUND
show me when my article is going to arrie,DELIVERY
i dont know how to receive a refund of my money,REFUND
"I want to inform of a registration error, how can I do it?",ACCOUNT
help to see ur available paymnet options,PAYMENT
change to pro account,ACCOUNT
i have got to notify of problems with a registration,ACCOUNT
have a problem with cancelling order {{Order Number}},ORDER
help me remove several products from order {{Order Number}},ORDER
i need help to check what payment methods are available,PAYMENT
can uhelp me resetting the access key of my user profile,ACCOUNT
i want help seeing theeta of purchase {{Order Number}},ORDER
what do I have to do to cancel purchase {{Order Number}}?,ORDER
i dont know how i can see how soon can i expect my order,DELIVERY
where do i see how soon can i expect my shipment,DELIVERY
need assistance to notify of an issue with sign-up,ACCOUNT
i dont know how i can acquire some of ur item,ORDER
where do I see what options for delivery you offer?,DELIVERY
"I expect a compenastion of {{Currency Symbol}}{{Refund Amount}}, was it processed already",REFUND
can I place an order from {{Delivery City}}?,DELIVERY
help solving a trouble with online payment,PAYMENT
how do i use the premium account,ACCOUNT
i do ont know how i can report an issue with payment,PAYMENT
where can i notify of troubles with payments,PAYMENT
i cannot pay i have to report goddamn payment issues,PAYMENT
i do not know how i can obtain compensations of my money,REFUND
i do not know what to do to see what shipping methods i have,DELIVERY
I don't know how to cancel purchase {{Order Number}},ORDER
check ETA of order {{Order Number}},ORDER
i havd to buy some products,ORDER
need assistance to earn several of u article,ORDER
show your money back guarantee,REFUND
can I open a {{Account Type}} account?,ACCOUNT
how do I change an article of purchase {{Order Number}}?,ORDER
can ya show me the status of order {{Order Number}},ORDER
"I no longer use my {{Account Type}} account, help me cancelling it",ACCOUNT
I need help seeing your money back guarantee,REFUND
i want assistance to inform of issues with onlinbe payments,PAYMENT
check status of order {{Order Number}},ORDER
I do not know what to do to check the options for shipment,DELIVERY
I want to see in what cases can I request my money back,REFUND
modify info on {{Account Type}} account,ACCOUNT
I am waiting for an restitution of {{Refund Amount}} dollars,REFUND
assistance buying several of your product,ORDER
switch to  {{Account Type}} account,ACCOUNT
help me to see what payment payment modalities are allowed,PAYMENT
